"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT_FORMATTED)"
"2012","Tennessee","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2017","Tennessee","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2022","Tennessee","Government Organization","GO0016","Population-size group  - County Governments - 500,000 or more - Count","001","State and Local","1"
"2012","Tennessee","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","7"
"2017","Tennessee","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","7"
"2022","Tennessee","Government Organization","GO0017","Population-size group  - County Governments - Less than 10,000 - Count","001","State and Local","7"
"2012","Tennessee","Government Organization","GO0018","Total population of county governments","001","State and Local","5,705,192"
"2017","Tennessee","Government Organization","GO0018","Total population of county governments","001","State and Local","6,008,274"
"2022","Tennessee","Government Organization","GO0018","Total population of county governments","001","State and Local","6,252,586"
"2012","Tennessee","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","481,909"
"2017","Tennessee","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","485,131"
"2022","Tennessee","Government Organization","GO0019","Population-size group  - County Governments - 10,000 to 24,999 - Population","001","State and Local","446,333"
"2012","Tennessee","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,032,963"
"2017","Tennessee","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,266,879"
"2022","Tennessee","Government Organization","GO0020","Population-size group  - County Governments - 100,000 to 249,999 - Population","001","State and Local","1,226,402"
"2012","Tennessee","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","1,026,654"
"2017","Tennessee","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","932,115"
"2022","Tennessee","Government Organization","GO0021","Population-size group  - County Governments - 25,000 to 49,999 - Population","001","State and Local","902,537"
"2012","Tennessee","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,031,293"
"2017","Tennessee","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,140,630"
"2022","Tennessee","Government Organization","GO0022","Population-size group  - County Governments - 250,000 to 499,999 - Population","001","State and Local","1,463,729"
"2012","Tennessee","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,155,251"
"2017","Tennessee","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,197,784"
"2022","Tennessee","Government Organization","GO0023","Population-size group  - County Governments - 50,000 to 99,999 - Population","001","State and Local","1,239,469"
"2012","Tennessee","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","927,644"
"2017","Tennessee","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","936,961"
"2022","Tennessee","Government Organization","GO0024","Population-size group  - County Governments - 500,000 or more - Population","001","State and Local","924,454"
"2012","Tennessee","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","49,478"
"2017","Tennessee","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","48,774"
"2022","Tennessee","Government Organization","GO0025","Population-size group  - County Governments - Less than 10,000 - Population","001","State and Local","49,662"
"2012","Texas","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","254"
"2017","Texas","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","254"
"2022","Texas","Government Organization","GO0005","Total Local Government Units - County Governments","001","State and Local","254"
"2012","Texas","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","68"
"2017","Texas","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","64"
"2022","Texas","Government Organization","GO0011","Population-size group  - County Governments - 10,000 to 24,999 - Count","001","State and Local","62"
"2012","Texas","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","19"
"2017","Texas","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","18"
"2022","Texas","Government Organization","GO0012","Population-size group  - County Governments - 100,000 to 249,999 - Count","001","State and Local","20"
"2012","Texas","Government Organization","GO0013","Population-size group  - County Governments - 25,000 to 49,999 - Count","001","State and Local","38"
